SOURCE_SYSTEM,REGION,COUNTRY,Priority_Brand,GMC_Category_Code,GMC_Category_Name,GMC_Subcategory_Code,GMC_Subcategory_Name,GMC_BRAND_CODE,GMC_BRAND_B1,B2_SUBBRAND_CODE2,B2_SUBBRAND2,SOURCE_BRAND_NAME,Source_Brand_Code,Source_Subcategory_Name,Source_Subcategory_Code,Source_Category_Name,Source_Category_Code,Source_Need_State,Mapping_Quality
Profitero,EMEA,Germany,,,,,,,,,,Aveeno,,Face Care Regular,,Face Care,,Skin Care,
Profitero,EMEA,Germany,,,,,,,,,,Aveeno Daily Moisturizing,,Adult Body Moisturising,,Hand/Body/Foot Moisturising,,Skin Care,
Profitero,EMEA,Germany,,,,,,,,,,Aveeno Skin Relief,,Adult Body Moisturising,,Hand/Body/Foot Moisturising,,Skin Care,
Profitero,EMEA,Germany,,,,,,,,,,Aveeno Baby Continuous Protection,,Sun Protection,,Sun Care,,Skin Care,
Profitero,EMEA,Germany,,,,,,,,,,Aveeno Skin Relief,,Regular Shampoo,,Hair Care,,Skin Care,
Profitero,EMEA,Germany,,,,,,,,,,Piz Buin 1 Day Long,,Sun Protection,,Sun Care,,Skin Care,
Profitero,EMEA,Germany,,,,,,,,,,Piz Buin Moisturizing,,Sun Protection,,Sun Care,,Skin Care,
Profitero,EMEA,Germany,,,,,,,,,,Aveeno Baby Calming Comfort,,Milks/Lotions,,Baby Toiletries,,Essential Health,
Profitero,EMEA,Germany,,,,,,,,,,Aveeno Daily Moisturizing,,Soaps,,Baby Toiletries,,Essential Health,
Profitero,EMEA,Germany,,,,,,,,,,Piz Buin,,Sunless Tanners,,Sun Care,,Skin Care,
Profitero,EMEA,Germany,,,,,,,,,,Neutrogena,,Lip Moisturising,,Lip Moisturising,,Skin Care,
Profitero,EMEA,Germany,,,,,,,,,,Tispol,,Adult Analgesics,,Analgesics,,Self Care,
Profitero,EMEA,Germany,,,,,,,,,,Penaten,,Nappy Creams,,Baby Toiletries,,Essential Health,
Profitero,EMEA,Germany,,,,,,,,,,Neutrogena Norwegian Formula,,Lip Moisturising,,Lip Moisturising,,Skin Care,
Profitero,EMEA,Germany,,,,,,,,,,Johnson's Baby Bedtime,,Powder,,Baby Toiletries,,Essential Health,
Profitero,EMEA,Germany,,,,,,,,,,Aveeno Calm And Restore,,Face Care Regular,,Face Care,,Skin Care,
Profitero,EMEA,Germany,,,,,,,,,,Aveeno Baby,,Milks/Lotions,,Baby Toiletries,,Essential Health,
Profitero,EMEA,Germany,,,,,,,,,,Johnson's Baby,,Powder,,Baby Toiletries,,Essential Health,
Profitero,EMEA,Germany,,,,,,,,,,Dolormin,,Adult Analgesics,,Analgesics,,Self Care,
Profitero,EMEA,Germany,,,,,,,,,,Nicorette Freshfruit,,,,Smoking Cessation,,Self Care,
Profitero,EMEA,Germany,,,,,,,,,,Johnson's Baby Bedtime,,Oil,,Baby Toiletries,,Essential Health,
Profitero,EMEA,Germany,,,,,,,,,,Neutrogena Norwegian Formula,,Adult Body Moisturising,,Hand/Body/Foot Moisturising,,Skin Care,
Perfect Store Dashboard,EMEA,United Kingdom,,C40012,Cold & Cough,C50044,Cough,B10068,Actifed / Actigrip,,,Nett,,Tampons,,FemCare,,Essential Health,1
Perfect Store Dashboard,EMEA,United Kingdom,,C40012,Cold & Cough,C50067,Head / Decongestants,B10068,Actifed / Actigrip,,,Piz Buin Instant Glow,,Sun Protection,,Sun Care,,Skin Care,1
Profitero,EMEA,United Kingdom,,C40012,Cold & Cough,C50067,Head / Decongestants,B10068,Actifed / Actigrip,,,Carefree Plus,,Liners,,FemCare,,Essential Health,1
